,app_id,name,filtered_name
232,1080110,F1® 2020,f1 2020
233,1054490,Wingspan,wingspan
234,236850,Europa Universalis IV,europa universalis iv
235,360430,Mafia III: Definitive Edition,mafia iii definitive edition
236,573090,Stormworks: Build and Rescue,stormworks build rescue
237,678950,DRAGON BALL FighterZ,dragon ball fighterz
238,9900,Star Trek Online,star trek online
239,242050,Assassin’s Creed® IV Black Flag™,assassin creed iv black flag
240,848450,Subnautica: Below Zero,subnautica below zero
241,823500,BONEWORKS,boneworks
242,774861,Project Winter,project winter
243,1237970,Titanfall® 2,titanfall 2
244,629730,Blade and Sorcery,blade sorcery
245,431240,Golf With Your Friends,golf friend
246,570940,DARK SOULS™: REMASTERED,dark soul remastered
247,49520,Borderlands 2,borderland 2
248,444200,World of Tanks Blitz,tank blitz
249,621060,PC Building Simulator,pc building simulator
250,1258080,Shop Titans,shop titan
251,42700,Call of Duty®: Black Ops,call duty black ops
252,969990,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,spongebob squarepants battle bikini bottom rehydrated
253,560130,Pillars of Eternity II: Deadfire,pillar eternity ii deadfire
254,8930,Sid Meier's Civilization® V,sid meier civilization v
255,513710,SCUM,scum
256,386180,Crossout,crossout
257,250900,The Binding of Isaac: Rebirth,binding isaac rebirth
258,203770,Crusader Kings II,crusader king ii
259,1238810,Battlefield ™ V,battlefield v
260,323190,Frostpunk,frostpunk
261,367520,Hollow Knight,hollow knight
262,745920,Temtem,temtem
263,495420,State of Decay 2: Juggernaut Edition,state decay 2 juggernaut edition
264,863550,HITMAN™ 2,hitman 2
265,223850,3DMark,3dmark
266,1222680,Need for Speed™ Heat,need speed heat
267,365360,Battle Brothers,battle brother
268,214950,Total War™: ROME II - Emperor Edition,total rome ii emperor edition
269,1259970,eFootball PES 2021,efootball pe 2021
270,109600,Neverwinter,neverwinter
271,206420,Saints Row IV,saint row iv
272,648350,Jurassic World Evolution,jurassic evolution
273,824270,KovaaK 2.0,kovaak 2 0
274,953490,CARRION,carrion
275,218230,PlanetSide 2,planetside 2
276,815370,Green Hell,green hell
277,24010,Train Simulator 2021,train simulator 2021
278,387990,Scrap Mechanic,scrap mechanic
279,710920,Darksiders Genesis,darksiders genesis
280,1161580,Hardspace: Shipbreaker,hardspace shipbreaker
281,524220,NieR:Automata™,nier automaton
282,202970,Call of Duty®: Black Ops II,call duty black ops ii
283,774171,Muse Dash,muse dash
284,244210,Assetto Corsa,assetto corsa
285,508440,Totally Accurate Battle Simulator,totally accurate battle simulator
286,651670,Star Renegades,star renegade
287,22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,elder scroll iv oblivion game year edition
288,232090,Killing Floor 2,killing floor 2
289,342180,Arizona Sunshine®,arizona sunshine
290,627690,Idle Champions of the Forgotten Realms,idle champion forgotten realm
291,334230,Town of Salem,town salem
292,502500,ACE COMBAT™ 7: SKIES UNKNOWN,ace combat 7 sky unknown
293,268500,XCOM® 2,xcom 2
294,767560,War Robots,robot
295,1238860,Battlefield 4™,battlefield 4
296,895400,Deadside,deadside
297,1057090,Ori and the Will of the Wisps,ori will wisp
298,645402,Sid Meier’s Civilization® VI: Rise and Fall,sid meier civilization vi rise fall
299,391540,Undertale,undertale
300,967050,Pacify,pacify
301,47890,The Sims™ 3,sims 3
302,900883,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,elder scroll iv oblivion game year edition deluxe
303,606280,Darksiders III,darksiders iii
304,477160,Human: Fall Flat,human fall flat
305,10090,Call of Duty: World at War,call duty
306,851850,DRAGON BALL Z: KAKAROT,dragon ball z kakarot
307,1102190,Monster Train,monster train
308,976310,Mortal Kombat 11,mortal kombat 11
309,221680,Rocksmith® 2014 Edition - Remastered,rocksmith 2014 edition remastered
310,418460,Rising Storm 2: Vietnam,rising storm 2 vietnam
311,231430,Company of Heroes 2,company hero 2
312,470220,UNO,uno
313,1299591,Total War: THREE KINGDOMS - The Furious Wild,total three kingdom furious wild
314,728880,Overcooked! 2,overcooked 2
315,459820,Crush Crush,crush crush
316,588650,Dead Cells,cell
317,55230,Saints Row: The Third,saint row third
318,753640,Outer Wilds,outer wild
319,646570,Slay the Spire,slay spire
320,356190,Middle-earth™: Shadow of War™,middle earth shadow
321,227300,Euro Truck Simulator 2,euro truck simulator 2
322,1030840,Mafia: Definitive Edition,mafia definitive edition
323,641320,Cooking Simulator,cooking simulator
324,262060,Darkest Dungeon®,darkest dungeon
325,457140,Oxygen Not Included,oxygen not included
326,527230,For The King,king
327,268910,Cuphead,cuphead
328,601150,Devil May Cry 5,devil may cry 5
329,349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,naruto shippuden ultimate ninja storm 4
330,1229490,ULTRAKILL,ultrakill
331,257420,Serious Sam 4,serious sam 4
332,674940,Stick Fight: The Game,stick fight game
333,611670,The Elder Scrolls V: Skyrim VR,elder scroll v skyrim vr
334,310950,Street Fighter V,street fighter v
335,274920,FaceRig,facerig
336,230290,Universe Sandbox,universe sandbox
337,403640,Dishonored 2,dishonored 2
338,606880,GreedFall,greedfall
339,286690,Metro 2033 Redux,metro 2033 redux
340,233860,Kenshi,kenshi
341,602960,Barotrauma,barotrauma
342,208650,Batman™: Arkham Knight,batman arkham knight
343,611790,House Party,house party
344,220200,Kerbal Space Program,kerbal space program
345,8870,BioShock Infinite,bioshock infinite
346,750920,Shadow of the Tomb Raider: Definitive Edition,shadow tomb raider definitive edition
347,805550,Assetto Corsa Competizione,assetto corsa competizione
348,285900,Gang Beasts,gang beast
349,731490,Crash Bandicoot™ N. Sane Trilogy,crash bandicoot n sane trilogy
350,1140001,Stellaris: Federations,stellaris federation
351,383980,Rivals of Aether,rival aether
352,376210,The Isle,isle
353,552520,Far Cry® 5,far cry 5
354,637650,FINAL FANTASY XV WINDOWS EDITION,final fantasy xv window edition
355,382310,Eco,eco
356,567640,Danganronpa V3: Killing Harmony,danganronpa v3 killing harmony
357,881100,Noita,noita
358,1030210,Torchlight III,torchlight iii
359,566440,Necromunda: Underhive Wars,necromunda underhive war
360,453480,Shadowverse CCG,shadowverse ccg
361,287390,Metro: Last Light Redux,metro light redux
362,637090,BATTLETECH,battletech
363,1089090,ONE PIECE: PIRATE WARRIORS 4,one piece pirate warrior 4
364,690830,Foundation,foundation
365,389730,TEKKEN 7,tekken 7
366,266840,Age of Mythology: Extended Edition,age mythology extended edition
367,635260,CarX Drift Racing Online,carx drift racing online
368,383120,Empyrion - Galactic Survival,empyrion galactic survival
369,454650,DRAGON BALL XENOVERSE 2,dragon ball xenoverse 2
370,1100600,Football Manager 2020,football manager 2020
371,1106840,Hydroneer,hydroneer
372,212500,The Lord of the Rings Online™,lord ring online
373,216150,MapleStory,maplestory
374,636480,Ravenfield,ravenfield
375,413410,Danganronpa: Trigger Happy Havoc,danganronpa trigger happy havoc
376,450540,"Hot Dogs, Horseshoes & Hand Grenades",hot dog horseshoe hand grenade
377,379720,DOOM,doom
378,690790,DiRT Rally 2.0,dirt rally 2 0
379,617830,SUPERHOT VR,superhot vr
380,788100,Neon Abyss,neon abyss
381,656350,UnderMine,undermine
382,736220,Post Scriptum,post scriptum
383,395180,Arma 3 Apex,arma 3 apex
384,380600,Fishing Planet,fishing planet
385,375480,Chronicon,chronicon
386,400,Portal,portal
387,362890,Black Mesa,black mesa
388,305620,The Long Dark,long dark
389,253230,A Hat in Time,a hat
390,787480,Phoenix Wright: Ace Attorney Trilogy,phoenix wright ace attorney trilogy
391,933110,Age of Empires III: Definitive Edition,age empire iii definitive edition
392,304050,Trove,trove
393,288470,Fable Anniversary,fable anniversary
394,269950,X-Plane 11,x plane 11
395,604240,Shotgun Farmers,shotgun farmer
396,383150,Dead Island Definitive Edition,island definitive edition
397,201270,Total War: SHOGUN 2,total shogun 2
398,413420,Danganronpa 2: Goodbye Despair,danganronpa 2 goodbye despair
399,460930,Tom Clancy's Ghost Recon® Wildlands,tom clancy ghost recon wildlands
400,17390,SPORE™,spore
401,1222700,A Way Out,a way out
402,204360,Castle Crashers®,castle crasher
403,211820,Starbound,starbound
404,1238840,Battlefield 1 ™,battlefield 1
405,475150,Titan Quest Anniversary Edition,titan quest anniversary edition
406,633230,NARUTO TO BORUTO: SHINOBI STRIKER,naruto boruto shinobi striker
407,582160,Assassin's Creed® Origins,assassin creed origin
408,678960,CODE VEIN,code vein
409,372000,Tree of Savior (English Ver.),tree savior english ver
410,1119700,As Far As The Eye,a far a eye
411,732690,FIVE NIGHTS AT FREDDY'S: HELP WANTED,five night freddy help wanted
412,638970,Yakuza 0,yakuza 0
413,1097840,Gears 5,gear 5
414,424030,War of Rights,right
415,692850,Bloodstained: Ritual of the Night,bloodstained ritual
416,254700,Resident Evil 4,resident evil 4
417,641990,The Escapists 2,escapist 2
418,221040,Resident Evil 6,resident evil 6
419,21690,Resident Evil 5,resident evil 5
420,492720,Tropico 6,tropico 6
421,571740,Golf It!,golf
422,528230,SYNTHETIK: Legion Rising,synthetik legion rising
423,1121560,Atelier Ryza: Ever Darkness & the Secret Hideout,atelier ryza ever darkness secret hideout
424,834910,ATLAS,atlas
425,1066780,Transport Fever 2,transport fever 2
426,105450,Age of Empires® III (2007),age empire iii 2007
427,644930,They Are Billions,are billion
428,704850,Thief Simulator,thief simulator
429,221380,Age of Empires II (2013),age empire ii 2013
430,239030,"Papers, Please",paper please
431,488790,South Park™: The Fractured But Whole™,south park fractured whole
432,682990,Drug Dealer Simulator,drug dealer simulator
433,237630,DuckTales: Remastered,ducktales remastered
434,537180,Digimon Masters Online,digimon master online
435,774361,Blasphemous,blasphemous
436,10180,Call of Duty®: Modern Warfare® 2,call duty modern warfare 2
437,644830,The Surge 2,surge 2
438,240720,Getting Over It with Bennett Foddy,getting bennett foddy
439,373420,Divinity: Original Sin - Enhanced Edition,divinity original sin enhanced edition
440,244450,Men of War: Assault Squad 2,men assault squad 2
441,287700,METAL GEAR SOLID V: THE PHANTOM PAIN,metal gear solid v phantom pain
442,544750,SOULCALIBUR VI,soulcalibur vi
443,261570,Ori and the Blind Forest,ori blind forest
444,464920,Surviving Mars,surviving mar
445,897670,Grim Dawn - Forgotten Gods Expansion,grim dawn forgotten god expansion
446,1017900,Age of Empires: Definitive Edition,age empire definitive edition
447,24200,DC Universe™ Online,dc universe online
448,960170,DJMAX RESPECT V,djmax respect v
449,32470,STAR WARS™ Empire at War - Gold Pack,star war empire gold pack
450,314160,Microsoft Flight Simulator X: Steam Edition,microsoft flight simulator x steam edition
451,646910,The Crew™ 2,crew 2
452,1118200,People Playground,people playground
453,509980,BIGFOOT,bigfoot
454,17480,Command & Conquer: Red Alert 3,command conquer red alert 3
455,411300,ELEX,elex
456,480490,Prey,prey
457,291650,Pillars of Eternity,pillar eternity
458,547502,Cities: Skylines - Mass Transit,city skyline mass transit
459,642280,Grim Dawn - Ashes of Malmouth Expansion,grim dawn ash malmouth expansion
460,22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,elder scroll iii morrowind game year edition
461,1284410,GWENT: The Witcher Card Game,gwent witcher card game
462,751780,Forager,forager
463,233450,Prison Architect,prison architect
464,274520,Darkwood,darkwood
465,675010,MudRunner,mudrunner
466,1016920,Unrailed!,unrailed
467,329110,Gems of War - Puzzle RPG,gem puzzle rpg
468,562810,MONOPOLY® PLUS,monopoly plus
469,489520,Minion Masters,minion master
470,427290,Vampyr,vampyr
471,704270,Generation Zero®,generation zero
472,108600,Project Zomboid,project zomboid
473,1291340,Townscaper,townscaper
474,22370,Fallout 3: Game of the Year Edition,fallout 3 game year edition
475,313120,Stranded Deep,stranded deep
476,383870,Firewatch,firewatch
477,311690,Enter the Gungeon,enter gungeon
478,476600,Call of Duty®: WWII,call duty wwii
479,612880,Wolfenstein II: The New Colossus,wolfenstein ii new colossus
480,206480,Dungeons & Dragons Online®,dungeon dragon online
481,420290,Blackwake,blackwake
482,494840,UBOAT,uboat
483,311310,Naval Action,naval action
484,535930,Two Point Hospital,two point hospital
485,261640,Borderlands: The Pre-Sequel,borderland pre sequel
486,630100,SoulWorker - Anime Action MMO,soulworker anime action mmo
487,339600,VEGA Conflict,vega conflict
488,617870,Total War: WARHAMMER II - Rise of the Tomb Kings,total warhammer ii rise tomb king
489,503940,Railway Empire,railway empire
490,392160,X4: Foundations,x4 foundation
491,438740,Friday the 13th: The Game,friday 13th game
492,48700,Mount & Blade: Warband,mount blade warband
493,335300,DARK SOULS™ II: Scholar of the First Sin,dark soul ii scholar first sin
494,752590,A Plague Tale: Innocence,a plague tale innocence
495,8980,Borderlands Game of the Year,borderland game year
496,307960,IL-2 Sturmovik: Battle of Stalingrad,il 2 sturmovik battle stalingrad
497,227940,Heroes & Generals,hero general
498,285920,TerraTech,terratech
499,418030,Subsistence,subsistence
500,219740,Don't Starve,don t starve
501,816020,JUMP FORCE,jump force
502,1007040,EARTH DEFENSE FORCE 5,earth defense force 5
503,927380,Yakuza Kiwami 2,yakuza kiwami 2
504,4700,Total War: MEDIEVAL II – Definitive Edition,total medieval ii definitive edition
505,1240210,There Is No Game : Wrong Dimension,there game wrong dimension
506,312660,Sniper Elite 4,sniper elite 4
507,47810,Dragon Age: Origins - Ultimate Edition,dragon age origin ultimate edition
508,901583,Grand Theft Auto IV: Complete Edition,grand theft auto iv complete edition
509,228280,Baldur's Gate: Enhanced Edition,baldur gate enhanced edition
510,1282210,DEEMO -Reborn-,deemo reborn
511,386940,Ultimate Chicken Horse,ultimate chicken horse
512,341800,Keep Talking and Nobody Explodes,keep talking nobody explodes
513,293760,Automation - The Car Company Tycoon Game,automation car company tycoon game
514,246900,Viscera Cleanup Detail,viscera cleanup detail
515,429050,Feed and Grow: Fish,feed grow fish
516,653530,Return of the Obra Dinn,return obra dinn
517,844870,KurtzPel,kurtzpel
518,12210,Grand Theft Auto IV: The Complete Edition,grand theft auto iv complete edition
519,578620,GORN,gorn
520,401920,The Binding of Isaac: Afterbirth,binding isaac afterbirth
521,495910,Dungeon Fighter Online,dungeon fighter online
522,553280,Stellaris: Utopia,stellaris utopia
523,573100,Battlefleet Gothic: Armada 2,battlefleet gothic armada 2
524,363890,RPG Maker MV,rpg maker mv
