,url,genre,game_details
109,https://store.steampowered.com/app/339610/Freestyle_2_Street_Basketball/,"Action,Casual,Free to Play,Massively Multiplayer,Sports","Online Multi-Player,MMO,Online Co-op,Steam Trading Cards,Partial Controller Support"
110,https://store.steampowered.com/app/621060/PC_Building_Simulator/,"Indie,Simulation","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
111,https://store.steampowered.com/app/365360/Battle_Brothers/,"Indie,RPG,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
112,https://store.steampowered.com/app/378540/The_Surge/,"Action,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
113,https://store.steampowered.com/app/712100/Total_War_Saga_THRONES_OF_BRITANNIA/,"Action,Strategy","Single-player,Multi-player,Steam Achievements"
114,https://store.steampowered.com/bundle/6998/Assetto_Corsa_Ultimate_Edition/,"Indie,Racing,Simulation,Sports","Single-player,Multi-player,Online Multi-Player,Downloadable Content,Steam Achievements,Partial Controller Support,Steam Leaderboards,Includes level editor"
115,https://store.steampowered.com/app/453090/Parkitect/,"Indie,Simulation","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Includes level editor"
116,https://store.steampowered.com/app/727130/Between_the_Stars/,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access","Single-player,Steam Achievements"
117,https://store.steampowered.com/app/326460/ShellShock_Live/,"Action,Casual,Indie,Massively Multiplayer,Strategy,Early Access","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats"
118,https://store.steampowered.com/app/289130/Endless_Legend/,"RPG,Strategy","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud"
119,https://store.steampowered.com/bundle/11035/Cities_Skylines__Campus_Plus_Edition/,"Simulation,Strategy","Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor"
120,https://store.steampowered.com/app/1066260/Devolver_Bootleg/,"Action,Adventure,Casual,Indie,Sports","Single-player,Partial Controller Support"
121,https://store.steampowered.com/app/690790/DiRT_Rally_20/,"Racing,Simulation,Sports","Single-player,Multi-player,Online Multi-Player,Steam Achievements,Full controller support,Steam Cloud"
122,https://store.steampowered.com/app/601050/Attack_on_Titan_2__AOT2/,Action,"Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Partial Controller Support,Steam Cloud"
123,https://store.steampowered.com/app/291480/Warface/,"Action,Free to Play,Massively Multiplayer","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases"
124,https://store.steampowered.com/app/582160/Assassins_Creed_Origins/,"Action,Adventure,RPG","Single-player,Steam Achievements,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support"
125,https://store.steampowered.com/app/611790/House_Party/,"Adventure,Casual,Indie,Simulation,Early Access","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support"
126,https://store.steampowered.com/app/383120/Empyrion__Galactic_Survival/,"Adventure,Indie,Simulation,Strategy,Early Access","Single-player,Multi-player,Co-op,Steam Workshop,Partial Controller Support"
127,https://store.steampowered.com/app/817130/WWE_2K19/,"Simulation,Sports","Single-player,Multi-player,Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud"
